SPT NO,SAMPLING POINT,WQZ ,SAMPLE DATE/TIME,,PH,,CONDUCTIVITY20 C,,TURBIDITY,,COLOUR,,CHLOROPHYLL A,
,,,,,PH UNITS,,US/CM,,FORMAZIN TURBIDITY UNIT,,MG/L PT/CO,,UG/L,
622911,CEFNI WTW RAW,,14/01/2013 09:15:00,,"7,6000", ,"264,0000", ,"3,0000", ,"42,2000", ,"4,1000", 
622911,CEFNI WTW RAW,,24/01/2013 09:41:00,,"7,8000", ,"330,0000", ,"1,9000", ,"30,4000", ,"4,1000", 
622911,CEFNI WTW RAW,,30/01/2013 09:24:00,,"7,5000", ,"259,0000", ,"8,6000", ,"37,8400", ,"4,1000", 
622911,CEFNI WTW RAW,,05/02/2013 10:05:00,,"7,8000", ,"267,0000", ,"4,5000", ,"34,4000", ,"2,0000", 
622911,CEFNI WTW RAW,,14/02/2013 11:06:00,,"7,7000", ,"258,5000", ,"5,9500", ,"34,9650", ,"4,0000", 
622911,CEFNI WTW RAW,,18/02/2013 09:40:00,,"7,6000", ,"240,0000", ,"8,7000", ,"40,1400", ,"4,2000", 
622911,CEFNI WTW RAW,,22/02/2013 08:27:00,,"7,5000", ,"288,0000", ,"7,4000", ,"35,5300", ,"5,1000", 
622911,CEFNI WTW RAW,,28/02/2013 10:40:00,,"8,2000", ,"250,0000", ,"4,5000", ,"30,7500", ,"4,1000", 
622911,CEFNI WTW RAW,,06/03/2013 10:58:00,,"8,6000", ,"257,0000", ,"5,7000", ,"27,7300", ,"13,1000", 
622911,CEFNI WTW RAW,,12/03/2013 09:26:00,,"8,5000", ,"265,0000", ,"4,7000", ,"25,0600", ,"25,1000", 
622911,CEFNI WTW RAW,,25/03/2013 11:43:00,,"7,8000", ,"221,0000", ,"15,0000", ,"42,0000", ,"11,3000", 
622911,CEFNI WTW RAW,,31/03/2013 08:20:00,,"7,6000", ,"281,0000", ,"5,0000", ,"37,8700", ,"13,1000", 
622911,CEFNI WTW RAW,,08/04/2013 09:38:00,,"8,5000", ,"244,0000", ,"3,2000", ,"31,3300", ,"10,4000", 
622911,CEFNI WTW RAW,,15/04/2013 10:18:00,,"8,4000", ,"256,0000", ,"3,8000", ,"27,9700", ,"32,4000", 
622911,CEFNI WTW RAW,,22/04/2013 07:50:00,,"7,7000", ,"268,0000", ,"1,3000", ,"23,1100", ,"10,4000", 
622911,CEFNI WTW RAW,,29/04/2013 09:10:00,,"7,8000", ,"269,0000", ,"2,1000", ,"2,3200", ,"2,7000", 
622911,CEFNI WTW RAW,,06/05/2013 09:03:00,,"7,8000", ,"280,0000", ,"0,7400", ,"23,7100", ,"9,0000", 
622911,CEFNI WTW RAW,,13/05/2013 07:57:00,,"8,0000", ,"290,0000", ,"2,8000", ,"24,7400", ,"5,5000", 
622911,CEFNI WTW RAW,,20/05/2013 07:32:00,,"7,9000", ,"292,0000", ,"2,6000", ,"20,9300", ,"9,9000", 
622911,CEFNI WTW RAW,,21/05/2013 07:50:00,,"8,1000", ,"282,0000", ,"2,6000", ,"22,3300", ,"8,9000", 
622911,CEFNI WTW RAW,,03/06/2013 07:35:00,,"7,6000", ,"300,0000", ,"1,4000", ,"27,8800", ,"3,5000", 
622911,CEFNI WTW RAW,,10/06/2013 08:45:00,,"7,6000", ,"310,0000", ,"1,4000", ,"25,0000", ,"4,6000", 
622911,CEFNI WTW RAW,,17/06/2013 10:59:00,,"7,7000", ,"302,0000", ,"2,7000", ,"23,9000", ,"4,6000", 
622911,CEFNI WTW RAW,,24/06/2013 07:35:00,,"7,8000", ,"310,0000", ,"2,4000", ,"23,0200", ,"9,4000", 
622911,CEFNI WTW RAW,,01/07/2013 08:58:00,,"7,6000", ,"295,0000", ,"3,6000", ,"22,9700", ,"3,5800", 
622911,CEFNI WTW RAW,,22/07/2013 10:32:00,,"7,6000", ,"295,0000", ,"1,5000", ,"27,1900", ,"1,5300", 
622911,CEFNI WTW RAW,,29/07/2013 10:40:00,,"8,2000", ,"269,0000", ,"2,8000", ,"27,6400", ,"5,6300", 
622911,CEFNI WTW RAW,,05/08/2013 11:20:00,,"8,3000", ,"264,0000", ,"5,2000", ,"24,0000", ,"22,9300", 
622911,CEFNI WTW RAW,,12/08/2013 10:20:00,,"8,0000", ,"259,0000", ,"3,4000", ,"25,9700", ,"8,6900", 
622911,CEFNI WTW RAW,,19/08/2013 09:20:00,,"7,8000", ,"265,0000", ,"2,0000", ,"27,3300", ,"1,7400", 
622911,CEFNI WTW RAW,,23/08/2013 08:58:00,,"7,7000", ,"276,0000", ,"1,8000", ,"28,1500", ,"2,9200", 
622911,CEFNI WTW RAW,,02/09/2013 07:47:00,,"8,0000", ,"268,0000", ,"2,4000", ,"25,9700", ,"5,5600", 
622911,CEFNI WTW RAW,,09/09/2013 08:40:00,,"7,7000", ,"278,0000", ,"1,3000", ,"28,5100", ,"2,1500", 
622911,CEFNI WTW RAW,,12/09/2013 10:20:00,,"7,7000", ,"301,0000", ,"1,4000", ,"33,7300", ,"1,9500", 
622911,CEFNI WTW RAW,,18/09/2013 10:16:00,,"7,9000", ,"274,0000", ,"0,8400", ,"25,8500", ,"3,2000", 
622911,CEFNI WTW RAW,,24/09/2013 11:36:00,,"8,0000", ,"283,0000", ,"0,6000", ,"26,5100", ,"2,2200", 
622911,CEFNI WTW RAW,,07/10/2013 09:27:00,,, ,, ,, ,"37,9700", ,"2,7100", 
622911,CEFNI WTW RAW,,11/10/2013 10:45:00,,"7,6000", ,"275,0000", ,"4,2000", ,"51,6600", ,"2,7800", 
622911,CEFNI WTW RAW,,17/10/2013 09:36:00,,"7,7000", ,"274,0000", ,"1,3000", ,"51,3800", ,"1,6000", 
622911,CEFNI WTW RAW,,23/10/2013 09:41:00,,"7,7000", ,"265,0000", ,"3,5000", ,"76,3500", ,"2,6400", 
622911,CEFNI WTW RAW,,29/10/2013 10:11:00,,"7,9000", ,"254,0000", ,"2,4000", ,"86,4500", ,"1,9500", 
622911,CEFNI WTW RAW,,11/11/2013 08:49:00,,"7,8000", ,"259,0000", ,"1,4000", ,"64,3500", ,"5,2800", 
622911,CEFNI WTW RAW,,14/11/2013 10:53:00,,"7,9000", ,"274,0000", ,"2,2000", ,"54,2860", ,"1,8100", 
622911,CEFNI WTW RAW,,21/11/2013 07:57:00,,"7,9000", ,"288,0000", ,"2,7000", ,"47,5320", ,"3,0600", 
622911,CEFNI WTW RAW,,27/11/2013 11:59:00,,"8,0000", ,"288,0000", ,"1,3000", ,"47,9000", ,"5,8400", 
622911,CEFNI WTW RAW,,03/12/2013 09:07:00,,"7,8000", ,"304,0000", ,"0,8400", ,"41,6800", ,"3,1300", 
622911,CEFNI WTW RAW,,16/12/2013 12:54:00,,"7,7000", ,"307,0000", ,"2,9000", ,"33,4600", ,"4,3100", 
622911,CEFNI WTW RAW,,20/12/2013 08:46:00,,"8,0000", ,"296,0000", ,"3,4000", ,"37,4000", ,"2,2200", 
622911,CEFNI WTW RAW,,30/12/2013 09:46:00,,"7,9000", ,"267,0000", ,"7,9000", ,"40,1200", ,"3,5400", 
622911,CEFNI WTW RAW,,06/01/2014 08:53:00,,"7,7000", ,"255,0000", ,"6,4000", ,"42,9000", ,"2,0800", 
622911,CEFNI WTW RAW,,10/01/2014 10:21:00,,"7,5000", ,"251,0000", ,"8,2000", ,"38,6800", ,"2,5700", 
622911,CEFNI WTW RAW,,20/01/2014 09:29:00,,"7,7000", ,"276,0000", ,"4,5000", ,"43,4200", ,"2,1500", 
622911,CEFNI WTW RAW,,27/01/2014 09:52:00,,"7,8000", ,"243,0000", ,"4,1000", ,"41,4600", ,"2,0200", 
622911,CEFNI WTW RAW,,30/01/2014 11:49:00,,, ,, ,, ,, ,"1,8800", 
622911,CEFNI WTW RAW,,11/02/2014 10:29:00,,"7,6000", ,"251,0000", ,"4,2000", ,"34,8100", ,"2,1500", 
622911,CEFNI WTW RAW,,14/02/2014 12:11:00,,"7,8000", ,"276,0000", ,"9,0000", ,"35,6500", ,"4,0300", 
622911,CEFNI WTW RAW,,19/02/2014 07:45:00,,"7,6000", ,"264,0000", ,"6,0000", ,"31,4600", ,"3,1300", 
622911,CEFNI WTW RAW,,03/03/2014 11:44:00,,"7,8000", ,"264,0000", ,"5,6000", ,"29,0900", ,"11,2600", 
622911,CEFNI WTW RAW,,06/03/2014 09:52:00,,"7,8000", ,"272,0000", ,"6,1000", ,"28,2500", ,"10,5600", 
622911,CEFNI WTW RAW,,20/03/2014 11:08:00,,"7,9000", ,"276,0000", ,"3,0000", ,"2,0000",<,"14,0300", 
622911,CEFNI WTW RAW,,21/03/2014 08:59:00,,"7,6000", ,"287,0000", ,"1,9000", ,"40,6000", ,"9,8600", 
622911,CEFNI WTW RAW,,26/03/2014 09:32:00,,"7,9000", ,"280,0000", ,"1,4000", ,"23,1200", ,"8,4700", 
622911,CEFNI WTW RAW,,07/04/2014 09:02:00,,"7,7000", ,"279,0000", ,"2,2000", ,"28,9700", ,"2,7800", 
622911,CEFNI WTW RAW,,22/04/2014 08:21:00,,"7,8000", ,"282,0000", ,"0,5000", ,"30,7100", ,"2,9800", 
622911,CEFNI WTW RAW,,22/04/2014 08:42:00,,"7,8000", ,"279,0000", ,"0,4700", ,"28,9800", ,"2,5700", 
622911,CEFNI WTW RAW,,25/04/2014 08:48:00,,"7,8000", ,"280,0000", ,"0,5900", ,"29,8940", ,"0,7600", 
622911,CEFNI WTW RAW,,12/05/2014 10:15:00,,"7,9000", ,"285,0000", ,"1,6000", ,"25,4530", ,"1,8700", 
622911,CEFNI WTW RAW,,15/05/2014 11:15:00,,"7,8000", ,"286,0000", ,"0,2100", ,"23,8200", ,"1,1100", 
622911,CEFNI WTW RAW,,27/05/2014 10:42:00,,"7,6000", ,"264,0000", ,"1,1000", ,"30,8710", ,"0,8300", 
622911,CEFNI WTW RAW,,02/06/2014 08:35:00,,"7,6000", ,"288,0000", ,"0,7700", ,"30,0000", ,"0,7600", 
622911,CEFNI WTW RAW,,05/06/2014 08:11:00,,"7,6000", ,"280,0000", ,"1,1000", ,"27,5220", ,"0,8300", 
622911,CEFNI WTW RAW,,17/06/2014 07:44:00,,"7,4000", ,"296,0000", ,"1,9000", ,"27,0200", ,"1,9400", 
622911,CEFNI WTW RAW,,24/06/2014 10:32:00,,"7,7000", ,"268,0000", ,"0,6000", ,"24,9820", ,"1,8700", 
622911,CEFNI WTW RAW,,01/07/2014 09:34:00,,"7,7000", ,"292,0000", ,"2,8000", ,"24,3590", ,"3,1900", 
622911,CEFNI WTW RAW,,15/07/2014 07:30:00,,"8,3000", ,"288,0000", ,"2,1000", ,"28,9700", ,"4,4750", 
622911,CEFNI WTW RAW,,21/07/2014 08:06:00,,"7,8000", ,"293,0000", ,"1,5000", ,"28,5650", ,"5,7600", 
622911,CEFNI WTW RAW,,22/07/2014 12:55:00,,"7,8000", ,"293,0000", ,"1,4000", ,"30,1200", ,"4,4750", 
622911,CEFNI WTW RAW,,23/07/2014 08:33:00,,"7,8000", ,"296,0000", ,"1,3000", ,"31,0000", ,"4,4750", 
622911,CEFNI WTW RAW,,24/07/2014 11:25:00,,"7,8000", ,"286,0000", ,"1,3000", ,"36,5190", ,"4,4750", 
622911,CEFNI WTW RAW,,25/07/2014 14:54:00,,"7,7000", ,"287,0000", ,"1,8000", ,"29,5970", ,"4,4750", 
622911,CEFNI WTW RAW,,31/07/2014 10:15:00,,"8,0000", ,"288,0000", ,"1,3000", ,"27,7800", ,"4,4750", 
622911,CEFNI WTW RAW,,01/08/2014 11:56:00,,"7,4000", ,"294,0000", ,"1,4000", ,"27,2240", ,"44,2700", 
622911,CEFNI WTW RAW,,04/08/2014 10:56:00,,"8,0000", ,"295,0000", ,"1,3000", ,"29,2600", ,"44,2700", 
622911,CEFNI WTW RAW,,09/08/2014 09:32:00,,"8,2000", ,"286,0000", ,"2,5000", ,"31,0770", ,"44,2700", 
622911,CEFNI WTW RAW,,11/08/2014 10:30:00,,"8,4000", ,"280,0000", ,"3,5000", ,"28,2100", ,"44,2700", 
622911,CEFNI WTW RAW,,12/08/2014 09:07:00,,"8,4000", ,"285,0000", ,"3,9000", ,"29,3400", ,"44,2700", 
622911,CEFNI WTW RAW,,12/08/2014 09:11:00,,"8,4000", ,"290,0000", ,"3,9000", ,"28,8200", ,"13,1300", 
622911,CEFNI WTW RAW,,13/08/2014 12:26:00,,"8,6000", ,"283,0000", ,"5,5000", ,"29,9860", ,"44,2700", 
622911,CEFNI WTW RAW,,14/08/2014 11:22:00,,"8,4000", ,"285,0000", ,"4,7000", ,"28,2500", ,"44,2700", 
622911,CEFNI WTW RAW,,15/08/2014 07:42:00,,"8,5000", ,"276,0000", ,"6,3000", ,"27,5010", ,"44,2700", 
622911,CEFNI WTW RAW,,19/08/2014 09:51:00,,"8,5000", ,"292,0000", ,"6,6000", ,"24,0800", ,"44,2700", 
622911,CEFNI WTW RAW,,19/08/2014 09:53:00,,"8,4000", ,"266,0000", ,"4,9000", ,"24,7400", ,"45,5200", 
622911,CEFNI WTW RAW,,20/08/2014 12:20:00,,"8,5000", ,"286,0000", ,"5,6000", ,"24,0900", ,"44,2700", 
622911,CEFNI WTW RAW,,20/08/2014 12:25:00,,"8,6000", ,"269,0000", ,"7,2000", ,"23,5100", ,"44,2700", 
622911,CEFNI WTW RAW,,21/08/2014 09:09:00,,"8,4000", ,"279,0000", ,"3,8000", ,"26,1700", ,"44,2700", 
622911,CEFNI WTW RAW,,22/08/2014 07:49:00,,"8,5000", ,"279,0000", ,"8,6000", ,"22,8900", ,"44,2700", 
622911,CEFNI WTW RAW,,25/08/2014 08:58:00,,"8,5000", ,"288,0000", ,"3,8000", ,"25,8150", ,"44,2700", 
622911,CEFNI WTW RAW,,26/08/2014 14:24:00,,"8,5000", ,"284,0000", ,"4,8000", ,"23,2900", ,"44,2700", 
622911,CEFNI WTW RAW,,27/08/2014 12:10:00,,"8,4000", ,"281,0000", ,"3,5000", ,"23,6630", ,"44,2700", 
622911,CEFNI WTW RAW,,28/08/2014 12:37:00,,"8,4000", ,"278,0000", ,"2,9000", ,"22,4790", ,"44,2700", 
622911,CEFNI WTW RAW,,01/09/2014 10:58:00,,"8,5000", ,"269,0000", ,"13,0000", ,"25,1500", ,"13,2700", 
622911,CEFNI WTW RAW,,02/09/2014 08:59:00,,"8,4000", ,"257,0000", ,"3,9000", ,"24,8890", ,"11,0500", 
622911,CEFNI WTW RAW,,09/09/2014 08:36:00,,"8,2000", ,"283,0000", ,"7,4000", ,"27,7050", ,"13,2700", 
622911,CEFNI WTW RAW,,16/09/2014 10:30:00,,"8,1000", ,"313,0000", ,"9,4000", ,"25,3990", ,"13,9000", 
622911,CEFNI WTW RAW,,23/09/2014 11:57:00,,"6,5000", ,"319,0000", ,"3,1000", ,"8,1750", ,"1,6600", 
622911,CEFNI WTW RAW,,30/09/2014 09:23:00,,"8,0000", ,"270,0000", ,"15,0000", ,"21,0000", ,"23,6300", 
622911,CEFNI WTW RAW,,07/10/2014 09:08:00,,"7,8000", ,"280,0000", ,"9,4000", ,"32,0000", ,"14,0300", 
622911,CEFNI WTW RAW,,14/10/2014 10:18:00,,"7,7000", ,"260,0000", ,"5,9000", ,"41,0000", ,"20,7800", 
622911,CEFNI WTW RAW,,21/10/2014 08:34:00,,"8,0000", ,"260,0000", ,"4,6000", ,"48,0000", ,"22,3800", 
